filename;ecocor_id
Marie_von_Ebner-Eschenbach_-_Krambambuli_(1884);eco_de_0000130
Marlitt_Eugenie_Amtmanns_Magd;eco_de_000217
Marlitt_Eugenie_Das_Eulenhaus;eco_de_000218
Marlitt_Eugenie_Das_Heideprinzesschen;eco_de_000219
Marlitt_Eugenie_Die_Frau_mit_den_Karfunkelsteinen;eco_de_000220
Marlitt_Eugenie_Die_zweite_Frau;eco_de_000221
Marlitt_Eugenie_Im_Schillingshof;eco_de_000222
Marlitt_Eugenie_Schulmeisters_Marie;eco_de_000223
Matthias_Blank_-_Der_Mord_im_Ballsaal_(1909);eco_de_0000131
Max_Dauthendey_-_Der_Knabe_auf_dem_Kopf_des_Elephanten_(1909);eco_de_0000132
Max_Dauthendey_-_Die_Abendglocken_vom_Mijderatempel_hoeren_(1909);eco_de_0000133
Max_Dauthendey_-_Die_acht_Gesichter_am_Biwasee_(1911);eco_de_0000134
Niese_Charlotte_Aus_daenischer_Zeit;eco_de_0000166
Niese_Charlotte_Der_verrueckte_Flinsheim;eco_de_0000167
Niese_Charlotte_Die_falschen_Weihnachtsbaeume;eco_de_0000168
Niese_Charlotte_Geschichten_aus_Corisande_Corisande;eco_de_0000169
Oskar_Panizza_-_Aus_dem_Tagebuch_eines_Hundes_(1892);eco_de_0000135
Otto_Julius_Bierbaum_-_Im_Kahne_(1895);eco_de_0000136
Pappenheim_Bertha_Erzaehlungen_Im_Storchenland;eco_de_0000170
Paul_Ernst_-_Komoedianten-_und_Spitzbubengeschichten_(1920);eco_de_0000137
Paul_Heyse_-_Das_Glueck_von_Rothenburg_(1881);eco_de_0000138
Peter_Rosegger_-_Jakob_der_Letzte_(1889);eco_de_0000139
Salomon_Gessner_-_Daphnis_(1754);eco_de_0000140
Salomon_Gessner_-_Idas_und_Mycon_(1777);eco_de_0000141
Sapper_Agnes_Das_kleine_Dummerle_Das_Mooserl;eco_de_0000171
Sapper_Agnes_Das_kleine_Dummerle_Helf_wer_helfen_kann;eco_de_0000172
Sapper_Agnes_Die_Familie_Pfaeffling;eco_de_0000173
Sophie_Woerishoeffer_-_Das_Naturforscherschiff_(1880);eco_de_0000142
Spyri-Johanna_HeidisLehr-undWanderjahre;eco_de_000224
Spyri_Johanna_Am_Felsensprung;eco_de_0000174
Spyri_Johanna_Aus_dem_Leben;eco_de_0000175
Spyri_Johanna_Beim_Weiden-Joseph;eco_de_0000114
Spyri_Johanna_Einer_vom_Hause_Lesa;eco_de_0000176
Spyri_Johanna_Rosenresli;eco_de_0000177
Spyri_Johanna_Und_wer_nur_Gott;eco_de_0000178
Spyri_Johanna_Was_soll;eco_de_0000179
Theodor_Storm_-_Von_Kindern_und_Katzen_und_wie_sie_die_Nine_begruben_(1876);eco_de_0000143
Wildermuth_Ottilie_Die_alte_Freundin_Das_Osterlied;eco_de_0000198
Wildermuth_Ottilie_Die_alte_Freundin_Des_Herrn_Pfarrers_Kuh;eco_de_0000199
Wildermuth_Ottilie_Die_alte_Freundin_Es_ging_ein_Engel_durch_das_Haus;eco_de_0000200
Wilhelm_Heinrich_Riehl_-_Der_stumme_Ratsherr_(1895);eco_de_0000144
Wilhelm_Jensen_-_Karin_von_Schweden_(1872);eco_de_0000145
Wilhelm_Raabe_-_Im_Siegeskranze_(1866);eco_de_0000146
Woerishoeffer_Sophie_Das_Naturforscherschiff;eco_de_0000142
Woerishoeffer_Sophie_Gerettet_aus_Sibirien;eco_de_0000201
Woerishoeffer_Sophie_Onnen_Visser;eco_de_0000202
Woerishoeffer_Sophie_Robert_des_Schiffsjungen_Fahrten;eco_de_0000203
von_Buelow_Frieda_Die_schoensten_Novellen_Die_stilisierte_Frau;eco_de_0000180
von_Buelow_Frieda_Die_schoensten_Novellen_Sie_und_Er;eco_de_0000181
von_Ebner-Eschenbach_Marie_Der_Herr_Hofrat;eco_de_0000183
von_Ebner-Eschenbach_Marie_Der_Vorzugsschueler;eco_de_0000184
von_Ebner-Eschenbach_Marie_Der_gute_Mond;eco_de_0000182
von_Ebner-Eschenbach_Marie_Die_Freiherren_von_Gemperlein;eco_de_0000185
von_Ebner-Eschenbach_Marie_Die_Spitzin;eco_de_0000186
von_Ebner-Eschenbach_Marie_Ein_Spaetgeborner;eco_de_0000187
von_Ebner-Eschenbach_Marie_Krambambuli;eco_de_0000188
von_Ebner-Eschenbach_Marie_Maslans_Frau;eco_de_0000189
von_Ebner-Eschenbach_Marie_Oversberg;eco_de_0000190
von_Eschstruth_Nataly_Hofluft;eco_de_0000191
von_Francois_Louise_Der_Katzenjunker;eco_de_0000192
von_Francois_Louise_Phosphorus_Hollunder;eco_de_0000193
von_Heyking_Elisabeth_Aus_dem_Land;eco_de_0000194
von_Heyking_Elisabeth_Das_Geheimnis_des_Amerikaners;eco_de_0000195
von_Heyking_Elisabeth_Ueber_einen_Hund;eco_de_0000196
von_Meysenbug_Malwida_Der_Pfad_der_Aebtissin;eco_de_0000197
zu_Reventlow_Franziska_Das_Logierhaus_Zur;eco_de_0000204
zu_Reventlow_Franziska_Das_polierte_Maennchen;eco_de_0000205
zu_Reventlow_Franziska_Der_Herr_Fischoetter;eco_de_0000206
zu_Reventlow_Franziska_Die_Silberwanze;eco_de_0000207
