Word,PoS,GermaNet_fields
Pinie,nomen,Pflanze
Haifisch,nomen,Tier
Nordost,nomen,natPhaenomen
Greif,nomen,Tier
Gasflamme,nomen,natPhaenomen
Waldmeister,nomen,Pflanze
Regenwurm,nomen,Tier
Streif,nomen,natPhaenomen
Waldboden,nomen,natGegenstand
Ur,nomen,Tier
Eichel,nomen,Pflanze
Auerhahn,nomen,Tier
Klette,nomen,Pflanze
Stieglitz,nomen,Tier
Biber,nomen,Tier
Biest,nomen,Tier
Lama,nomen,Tier
Torf,nomen,natGegenstand
Ahorn,nomen,natGegenstand Pflanze
Hanf,nomen,Pflanze
Hündin,nomen,Tier
Mops,nomen,Tier
Spannkraft,nomen,natPhaenomen
Trophäe,nomen,Tier
Griffel,nomen,Pflanze
Kiebitz,nomen,Tier
Regenschauer,nomen,natPhaenomen
Wildfang,nomen,Tier
Mäuschen,nomen,Tier
Zulauf,nomen,natPhaenomen
Hofhund,nomen,Tier
Westwind,nomen,natPhaenomen
Aar,nomen,Tier
Mondsichel,nomen,natPhaenomen
Föhn,nomen,natPhaenomen
Brennholz,nomen,natGegenstand
Bluthund,nomen,Tier
Bast,nomen,Pflanze
Schröter,nomen,Tier
windstill,adj,natPhaenomen
Ausläufer,nomen,Pflanze
Apollo,nomen,Tier
Zeisig,nomen,Tier
Olive,nomen,Pflanze
Rindvieh,nomen,Tier
Rosenblatt,nomen,Pflanze
Zaunkönig,nomen,Tier
Brombeere,nomen,Pflanze
Dino,nomen,Tier
Heimchen,nomen,Tier
nebelhaft,adj,natPhaenomen
Gärung,nomen,natPhaenomen
Zicklein,nomen,Tier
Bussard,nomen,Tier
Lebensende,nomen,natPhaenomen
Lindenbaum,nomen,Pflanze
Schneefall,nomen,natPhaenomen
Ziegelstein,nomen,natGegenstand
Glätte,nomen,natPhaenomen
Narzisse,nomen,Pflanze
Spross,nomen,Pflanze
Maulesel,nomen,Tier
Dornbusch,nomen,Pflanze
Zelter,nomen,Tier
Gips,nomen,natGegenstand
Boxer,nomen,Tier
Lurch,nomen,Tier
Morgennebel,nomen,natPhaenomen
Platzregen,nomen,natPhaenomen
Klepper,nomen,Tier
Mühlstein,nomen,natGegenstand
Jaguar,nomen,Tier
Rüde,nomen,Tier
Kieselstein,nomen,natGegenstand
Gurke,nomen,Pflanze
Ara,nomen,Tier
Ebenholz,nomen,natGegenstand
Arbeiterin,nomen,Tier
